Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Belgium,2017,100.0,99.6436,88.5905,1.65,81.4927,12.3419,102.7529,67.987,9.855,7.09,85.5132,5.66,4.0,50.98,2.5,27.4,0.2,0.4,
Belgium,2018,100.0,99.6299,89.9852,1.62,81.5951,12.1806,102.5004,68.585,9.801,5.941,85.4219,5.61,4.0,51.0,2.5,27.2,0.1,0.2,14.8
Belgium,2019,100.0,99.6161,91.389,1.6,81.9951,12.2196,102.1486,69.018,9.25,5.364,85.216,5.56,3.9,51.01,2.5,27.2,0.1,0.2,14.1
Belgium,2020,100.0,99.6023,92.802,1.55,80.6951,11.5558,102.0643,68.558,9.994,5.545,84.5433,5.52,3.9,51.02,2.5,26.0,0.1,0.3,12.7
Bosnia and Herzegovina,2012,43.0,88.5083,36.5742,1.252,77.037,,89.2094,60.778,28.923,28.01,72.608,2.33,6.7,53.62,2.5,,,,
Bosnia and Herzegovina,2013,42.7,88.5909,39.6403,1.278,77.129,,89.487,60.801,26.634,27.49,74.571,2.26,6.7,53.93,2.5,,,,
Bosnia and Herzegovina,2014,42.1,88.6728,42.7721,1.262,77.089,,91.2244,60.774,27.097,27.517,76.9553,2.34,6.7,54.24,2.5,,,,
Bosnia and Herzegovina,2015,41.7,88.7433,46.0505,1.322,77.073,,94.6954,60.877,28.348,27.695,75.7778,2.36,6.7,54.57,2.5,,,,16.9
Bosnia and Herzegovina,2016,41.6,88.7625,49.4512,1.36,77.124,10.2866,96.1386,60.975,27.09,25.408,75.6007,2.39,6.8,54.9,2.5,,,,
Bosnia and Herzegovina,2017,41.3,88.8557,52.9758,1.419,77.385,,98.2436,61.092,25.506,20.527,75.4435,2.39,6.8,55.22,2.5,,,,
Bosnia and Herzegovina,2018,40.85,88.8646,56.6267,1.504,77.942,9.6308,99.7166,61.206,22.605,18.4,78.6428,2.38,6.8,55.55,2.5,,,,
Bosnia and Herzegovina,2019,40.3,88.7368,,1.509,77.394,10.1332,100.9297,61.259,22.598,15.692,75.1024,2.34,6.7,55.87,2.5,,,,
Bosnia and Herzegovina,2020,40.2,88.1527,,1.515,76.04,,100.2639,61.053,21.805,15.868,75.6821,,6.6,56.19,2.5,,,,
Bulgaria,2012,,95.9796,62.6293,1.5,74.3146,10.6909,100.3631,67.315,21.592,12.27,88.4123,6.45,9.9,49.95,4.8,36.0,3.0,16.8,
Bulgaria,2013,,96.5132,63.6662,1.54,74.861,11.4398,98.7912,68.537,20.954,12.941,88.267,6.66,9.3,50.18,4.2,36.6,3.3,15.2,
Bulgaria,2014,,97.0368,64.8251,1.62,74.4659,,99.2496,68.856,20.194,11.424,87.2523,6.99,8.7,50.4,4.2,37.4,2.7,13.2,
Bulgaria,2015,,96.9512,66.0574,1.64,74.6146,,99.1272,69.518,18.474,9.143,87.711,7.11,8.2,50.62,4.1,38.6,4.6,15.6,22.9
Bulgaria,2016,,96.8662,67.3129,1.67,74.8122,,98.0772,68.73,18.198,7.575,88.4402,7.15,7.7,50.83,4.2,40.6,3.1,11.6,23.4
Bulgaria,2017,,96.7818,68.5913,1.71,74.8146,12.731,97.5943,71.457,15.848,6.164,88.1119,7.34,7.3,51.03,3.4,40.4,2.0,11.7,22.0
Bulgaria,2018,,96.698,69.5913,1.73,74.9634,11.79,96.7923,71.511,13.844,5.211,88.0039,7.47,7.0,51.22,3.1,41.3,1.5,9.1,22.6
Bulgaria,2019,,96.6147,70.5974,1.79,75.1122,11.7067,96.4399,73.283,13.598,4.23,88.5641,7.66,6.7,51.39,3.0,40.3,1.6,8.2,23.8
Bulgaria,2020,,96.5321,71.6096,1.77,73.3561,11.915,96.5438,72.296,14.777,5.125,89.3254,7.77,6.5,51.57,2.8,40.5,0.7,5.8,22.1
Croatia,2012,100.0,86.4239,76.4827,1.52,77.1683,,98.7156,63.894,16.589,15.935,81.2074,5.8,5.2,58.11,2.5,32.5,1.1,10.3,19.5
Croatia,2013,100.0,86.5414,76.1395,1.46,77.5707,9.3971,98.5738,63.707,19.634,17.251,82.3303,5.79,5.1,58.72,2.5,32.0,1.2,9.4,19.4
Croatia,2014,100.0,86.5901,75.8013,1.46,77.7244,,98.9083,66.124,19.326,17.29,82.86,5.84,5.0,59.32,2.5,32.1,1.2,7.9,20.0
Croatia,2015,100.0,86.6422,75.6406,1.41,77.2756,,99.4908,66.999,18.119,16.175,82.7867,5.5,4.9,59.93,2.5,31.1,0.7,7.5,19.5
Croatia,2016,100.0,86.6978,75.4829,1.43,77.922,,98.7909,65.642,16.901,13.103,83.8346,5.43,4.9,60.55,2.5,30.9,0.9,6.0,20.0
Croatia,2017,100.0,86.7571,75.3284,1.42,77.7268,8.7888,99.2321,66.497,15.354,11.208,84.3999,5.46,4.8,61.16,2.5,30.4,0.6,5.6,19.3
Croatia,2018,100.0,86.8199,75.1756,1.47,77.9195,8.7395,98.8812,66.402,13.571,8.432,84.9087,5.52,4.8,61.77,2.5,29.7,0.5,3.5,18.3
Croatia,2019,100.0,86.8861,75.0254,1.47,78.2244,8.9088,99.0015,66.662,11.776,6.617,85.2485,5.58,4.7,62.38,2.5,28.9,0.4,3.1,18.3
Croatia,2020,100.0,86.9559,74.8778,1.48,77.5244,8.2154,99.4887,67.236,12.242,7.507,85.589,5.6,4.7,62.99,2.5,29.5,0.4,2.7,19.2
Czechia,2012,100.0,97.6356,89.8566,1.45,78.0756,9.4449,99.3586,71.581,9.23,6.979,81.5845,6.93,3.2,55.83,2.5,26.1,0.1,1.1,8.6
Czechia,2013,100.0,97.9071,89.9851,1.46,78.1756,9.4883,98.7805,72.848,9.453,6.953,82.4364,6.7,3.1,56.16,2.5,26.5,0.0,0.8,9.7
Czechia,2014,100.0,98.1117,90.1037,1.53,78.8244,9.3032,97.6822,73.476,8.416,6.108,82.0069,6.68,3.1,56.51,2.5,25.9,0.0,1.1,9.7
Czechia,2015,100.0,98.1442,90.2257,1.57,78.578,13.7159,96.9615,73.95,7.718,5.048,82.6614,6.68,3.2,56.88,2.5,25.9,0.0,0.7,9.7
Czechia,2016,100.0,98.1507,90.3477,1.63,79.0268,13.9705,96.9098,74.907,7.15,3.952,82.8404,6.69,3.2,57.26,2.5,25.4,0.0,0.8,9.1
Czechia,2017,100.0,98.1502,90.4713,1.69,78.978,9.7634,97.2325,75.76,6.405,2.893,82.8796,6.67,3.2,57.64,2.5,24.9,0.0,0.5,9.6
Czechia,2018,100.0,98.1496,90.5964,1.71,79.0293,10.5082,98.2728,76.431,5.738,2.246,83.0558,6.68,3.1,58.02,2.5,25.0,0.0,0.4,10.1
Czechia,2019,100.0,98.1489,90.723,1.71,79.2293,11.0654,99.2833,76.561,5.824,2.015,83.1991,6.66,3.0,58.4,2.5,25.3,0.0,0.3,9.5
Czechia,2020,100.0,98.1482,90.8512,1.74,78.2268,9.9995,99.7845,76.198,6.682,2.55,83.1139,6.6,2.9,58.77,2.5,26.2,0.0,0.5,8.6
Denmark,2012,100.0,97.5126,96.3274,1.73,80.0512,12.513,101.5107,77.17,7.346,7.798,90.7276,,4.1,44.71,2.5,27.8,0.0,0.9,
Denmark,2013,100.0,97.8358,96.6285,1.67,80.3,15.2368,101.2993,76.504,6.633,7.384,90.8721,3.06,4.1,44.72,2.5,28.5,0.3,0.8,
Denmark,2014,100.0,98.159,96.9276,1.69,80.7,13.8623,101.1769,76.522,6.394,6.925,91.0296,2.69,4.1,44.74,2.5,28.4,0.2,0.9,
Denmark,2015,100.0,98.4822,97.2245,1.71,80.7024,,100.8821,76.895,7.032,6.278,91.1332,2.53,4.1,44.76,2.5,28.2,0.2,0.5,
Denmark,2016,100.0,98.8054,97.5192,1.79,80.8537,14.7375,101.0415,77.414,6.72,5.989,91.2118,2.61,4.0,44.78,2.5,28.2,0.3,0.5,
Denmark,2017,100.0,99.1286,97.8119,1.75,81.1024,14.5648,100.778,77.866,7.582,5.833,91.6596,2.62,4.0,44.81,2.5,28.7,0.1,0.3,
Denmark,2018,100.0,99.4518,98.1024,1.73,80.9537,14.4371,100.749,78.197,7.683,5.131,91.8634,2.62,3.9,44.83,2.5,28.2,0.2,0.3,
Denmark,2019,100.0,99.775,98.3909,1.7,81.4512,14.608,100.551,79.043,7.722,5.018,91.6612,2.6,3.8,44.85,2.5,27.7,0.3,0.5,12.1
Denmark,2020,100.0,99.9188,98.6023,1.68,81.6024,13.8467,100.4596,78.921,7.444,5.637,91.476,2.59,3.7,44.87,2.5,27.5,0.2,0.5,12.3
Estonia,2012,100.0,95.8422,90.5699,1.56,76.3268,11.8633,98.3196,74.845,12.2,10.021,90.9811,5.53,3.9,53.53,2.5,32.9,1.0,5.2,18.6
Estonia,2013,100.0,96.2281,90.5019,1.52,77.1415,12.4781,97.6795,75.201,11.319,8.631,90.7499,4.9,3.6,53.9,2.5,35.1,1.1,5.3,21.8
Estonia,2014,100.0,96.613,90.4359,1.54,77.0341,11.5192,97.5923,75.32,11.75,7.352,90.6392,4.9,3.4,54.27,2.5,34.6,1.0,5.0,21.6
Estonia,2015,100.0,96.9968,90.4264,1.58,77.5902,12.8676,97.1191,76.324,11.482,6.412,90.4582,4.82,3.2,54.65,2.5,32.7,0.7,2.9,21.7
Estonia,2016,100.0,97.3796,90.4192,1.6,77.6415,12.9944,97.2923,77.216,9.569,6.882,90.1193,4.69,3.0,55.02,2.5,31.2,0.6,2.4,21.0
Estonia,2017,100.0,97.6947,90.4156,1.59,78.0927,12.5142,97.2501,78.324,10.026,5.807,89.8417,4.61,2.8,55.4,2.5,30.4,0.5,1.8,21.9
Estonia,2018,100.0,97.8881,90.4163,1.67,78.2439,13.2389,97.4559,78.665,10.348,5.412,89.6372,4.53,2.7,55.78,2.5,30.3,0.4,1.3,21.7
Estonia,2019,100.0,98.078,90.4212,1.66,78.6463,13.2011,98.1577,78.338,7.86,4.514,89.5863,4.53,2.5,56.15,2.5,30.8,0.7,1.7,20.7
Estonia,2020,100.0,98.2682,90.438,1.58,78.5951,12.1634,98.3467,78.626,9.204,6.956,89.2851,4.46,2.4,56.51,2.5,30.7,0.4,1.6,20.6
Finland,2012,100.0,98.387,88.343,1.8,80.6268,12.8808,99.7071,74.965,7.713,7.689,86.7738,5.29,2.8,54.24,2.5,27.1,0.1,0.2,11.8
Finland,2013,100.0,98.7213,88.4909,1.75,80.9756,12.5302,99.6918,75.028,9.406,8.193,86.4149,4.86,2.6,54.31,2.5,27.2,0.1,0.2,12.8
Finland,2014,100.0,99.0556,88.6387,1.71,81.1805,12.3926,99.6617,75.133,9.857,8.663,86.9609,4.53,2.6,54.38,2.5,26.8,0.1,0.2,12.4
Finland,2015,100.0,99.3898,88.7866,1.65,81.4805,12.6923,99.5672,75.543,10.59,9.376,85.7199,4.28,2.5,54.48,2.5,27.1,0.1,0.2,11.6
Finland,2016,100.0,99.6319,88.9344,1.57,81.4293,12.5433,99.508,75.667,9.239,8.818,86.2063,3.97,2.4,54.59,2.5,27.1,0.0,0.2,11.5
Finland,2017,100.0,99.6331,89.0823,1.49,81.6317,12.1305,99.4682,76.48,8.888,8.64,86.9881,3.75,2.4,54.71,2.5,27.4,0.1,0.2,12.0
Finland,2018,100.0,99.6345,89.2302,1.41,81.7341,11.9418,99.7032,77.74,7.746,7.361,87.1308,3.61,2.4,54.82,2.5,27.3,0.1,0.2,11.6
Finland,2019,100.0,99.6361,89.378,1.35,81.9829,12.274,99.5557,77.947,7.386,6.695,86.8232,3.35,2.3,54.93,2.5,27.7,0.0,0.2,12.2
Finland,2020,100.0,99.6379,89.5259,1.37,81.9317,11.8403,99.8176,78.079,9.365,7.759,86.5624,2.83,2.3,55.04,2.5,27.1,0.0,0.1,10.8
France,2012,100.0,98.4615,88.7947,2.01,81.9683,,102.5232,70.739,12.843,9.841,88.517,6.58,4.1,39.24,2.5,33.1,0.1,0.3,
France,2013,100.0,98.5896,88.8977,1.99,82.2195,,102.2764,71.239,13.434,9.913,88.7271,6.52,4.1,38.75,2.5,32.5,0.1,0.2,
France,2014,100.0,98.7184,89.0002,2.0,82.7195,,101.2803,70.999,13.5,10.273,88.3893,6.46,4.1,38.26,2.5,32.3,0.0,0.2,
France,2015,100.0,98.8482,89.102,1.96,82.322,,101.9896,71.223,13.967,10.354,88.41,6.4,4.2,37.76,2.5,32.7,0.1,0.4,
France,2016,100.0,98.9788,89.2033,1.92,82.5732,,102.2604,71.285,13.94,10.057,88.1862,6.32,4.2,37.26,2.5,31.9,0.1,0.3,
France,2017,100.0,99.1102,89.3039,1.89,82.5756,9.4768,102.4172,71.435,13.425,9.409,88.3979,6.23,4.2,36.76,2.5,31.6,0.0,0.1,
France,2018,100.0,99.2426,89.404,1.87,82.6756,9.6248,102.4644,71.871,13.082,9.018,88.354,6.16,4.2,36.26,2.5,32.4,0.0,0.1,
France,2019,100.0,99.3757,89.5035,1.86,82.8268,9.6963,102.4476,71.665,12.618,8.415,87.907,6.1,4.2,35.76,2.5,31.2,0.1,0.4,13.8
France,2020,100.0,99.5098,89.6024,1.83,82.1756,9.1718,102.6516,71.091,12.701,8.009,87.5955,6.0,4.2,35.26,2.5,30.7,0.1,0.4,
Germany,2012,100.0,99.8877,96.4623,1.41,80.539,10.7169,104.1405,77.15,7.231,5.372,88.3938,8.22,4.0,54.76,2.5,31.1,0.0,0.2,
Germany,2013,100.0,99.8907,96.491,1.42,80.4902,10.7177,103.6387,77.605,6.41,5.316,88.8422,8.17,4.0,54.69,2.5,31.5,0.0,0.2,
Germany,2014,100.0,99.8938,96.5196,1.47,81.0902,10.8451,102.6218,77.752,6.365,4.979,89.0874,8.14,4.0,54.6,2.5,30.8,0.0,0.5,
