Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Azerbaijan,2015,97.0,100.0,67.8898,68.3754,1.94,72.349,5.795,8.2663,106.6015,68.26,4.96,4.08,27.8,58.34,2.5,,,,,,
Azerbaijan,2016,97.3,100.0,68.4657,68.4571,1.9,72.568,5.9464,9.446,106.4317,69.598,5.0,4.08,26.3,58.85,2.5,,,,,,
Azerbaijan,2017,97.6,100.0,69.037,68.5939,1.75,72.694,6.1401,7.8206,103.2941,70.21,5.0,3.94,24.9,59.34,2.5,,,,,,
Azerbaijan,2018,97.8,100.0,69.6033,68.7865,1.73,73.016,6.3689,8.4542,99.7221,70.791,4.9,3.9,23.6,59.82,2.5,,,,,,
Azerbaijan,2019,98.1,100.0,70.1641,69.0361,1.81,73.29,6.6276,8.5932,97.9353,70.815,5.0,3.9,22.4,60.28,2.5,,,,,,
Azerbaijan,2020,98.1,100.0,70.6733,,1.7,70.312,6.8834,9.802,98.2361,73.286,7.24,,21.3,60.75,2.5,,,,,,
Belgium,2012,100.0,100.0,99.6563,81.5742,1.8,80.3854,17.4894,11.0699,101.5204,66.938,7.542,6.03,4.3,50.96,2.5,27.5,8.7,0.2,0.5,,0.7
Belgium,2013,100.0,100.0,99.6646,83.1978,1.76,80.5878,17.7204,11.3517,103.1911,67.536,8.425,5.96,4.2,50.96,2.5,27.7,8.6,0.1,0.5,,0.7
Belgium,2014,100.0,100.0,99.6729,84.833,1.74,81.2878,17.9622,11.3425,103.1049,67.734,8.523,5.87,4.2,50.95,2.5,28.1,8.6,0.1,0.3,,0.6
Belgium,2015,100.0,100.0,99.6812,86.4801,1.7,80.9927,18.1637,11.7361,102.2438,67.596,8.482,5.85,4.1,50.96,2.5,27.7,8.6,0.1,0.2,,0.6
