Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Albania,2012,-0.8998674316340888,-0.8086349701721013,2.3657283538394522,1.3791848888461558,1.2740605398990419,0.978097046036573,3.0641790179169917,-0.796440087898399,1.0769299707932105,1.059958168599786,-1.3221592790064602,0.7635129024557311,0.408776293600748,-0.2998436109144907,1.9846603332367592,-0.5718528655377938,-1.9298720072295479,-2.240591799096198,0.6556229852040032,-0.21699500695041413,-0.8496338098342904,0.38147058342100615
Albania,2013,-0.7341831629641089,-0.5503375903995383,2.2740357515636713,1.3791848888461558,1.013735575957721,0.5556763986542752,2.630921440451154,-0.7687125058993339,1.079281419156167,1.1110277723784405,-0.8641150715325332,1.0472855605226103,0.427778200551906,0.6612061039560054,2.040492300584611,-0.4928725736736086,-1.9602009445991992,-2.2316381564732866,0.6708441607169527,-0.21379808984970472,-0.8496338098342904,0.7325390161613266
Albania,2014,-0.7297955070889676,-0.5428179534523736,2.132687102396966,1.3791848888461558,0.9005929804185097,0.5862556460475853,2.5743639742816318,-0.8700599991226581,0.967682727562893,1.0030819695913296,-0.5232082504075576,1.1576702451001684,0.4471128345980862,-1.0565771189903088,2.0528285603759238,-0.3288940221941864,-1.9786138403264864,-2.234388531428428,0.686348960398166,-0.21060893239593162,-1.8663354279158813,1.1158281219191761
Albania,2015,-0.7023057771238306,-0.5457659397965428,2.137014016760848,1.3791848888461558,1.3468220339172734,0.8474941696362784,2.700113051273696,-0.5834593779436831,0.962532263592814,0.9986373097802386,-1.1913955775313285,0.9290780748077048,0.5773547875915185,0.3455721363718051,2.0333686045188157,0.11626678358305477,-1.751881274349328,-2.2420427368049975,0.7904108662313554,-0.2074152413304685,-1.7684707309344516,1.6079625155911523
Albania,2016,-0.5246201412664468,-0.5503814029492983,2.1968896342586186,1.3791848888461558,1.1545761626096123,0.8590664445110179,2.586324574157648,0.7198893645686212,1.125799011164442,1.0382786547751532,-0.851082968607075,1.023728469512947,0.4337378946424827,1.7285990667848914,2.0500699390597816,0.537401983499705,-1.4008578938319531,-2.2266584729919656,0.6756287012228184,-0.20743366185281625,-0.26112087943637874,1.1660861670821063
Albania,2017,-0.6377448243610291,-0.5503814029492983,1.9763795996954345,1.3791848888461558,0.5719959148096706,0.8245239708905672,2.429867964514928,0.7198893645686212,1.1021596260399353,0.9261042786582081,-1.1794320886158647,0.8734418474083407,0.43451771611666035,-0.31047886212933173,2.0057274383006485,0.6483394046257313,-1.5564920209660753,-2.240317957137818,0.6762517551760407,-0.20805385069753643,-0.22353097662530558,0.9183081705452482
Albania,2018,-0.6938206490840834,-0.5503814029492983,1.9453100130119025,1.3791848888461558,1.1269989611124507,0.9537982295054716,2.40135530882073,0.7198893645686212,1.138000560264938,0.9672369445252808,-0.919148393413954,1.2964329839924837,0.5438979772035615,-0.803050354560192,1.9987513810111535,0.9504446598481588,-1.6705682907487152,-2.2140853059410346,0.763746484949018,-0.20805999148473708,-0.22353097662530558,0.8338152874434968
Albania,2019,-0.28033553629632946,-0.5503814029492983,2.0344153702190364,1.3791848888461558,0.7946912968725628,1.052536107611036,2.391521315389669,0.7198893645686212,1.1293408740889992,1.0685629892308632,-1.1213861355462829,1.113067939025494,0.4037120146538943,0.9710627909942559,2.00916452500316,0.6652184809049386,-1.6772723955636564,-2.2137601020460163,0.651551054141537,-0.20805999148473708,-0.159247462460401,1.1074637903705593
Albania,2020,-0.2806487235801301,-0.5503814029492983,2.165841233149601,1.3791848888461558,0.6534954268831441,1.1953390292911645,2.5427893895136107,0.7198893645686212,1.099440530194177,1.2449740765325428,-1.0119985561198137,1.0587651511898777,0.7046284986659773,-0.32092077842153877,2.035741258057063,0.907954090910289,-1.0610157771608586,-2.2098634698589725,0.8915343498535915,-0.20805999148473708,-0.159247462460401,1.0912601417512484
Armenia,2012,-2.460848303491383,-0.4401128174368179,2.3830759168642173,1.3791848888461558,-0.8495758924181234,-0.4362429723925971,2.198046816702785,-1.1825163201106748,-0.2231601713441203,-1.6794531669244788,0.23800195175061187,-0.9855201029310462,-1.7746385860522704,0.8726694886450035,1.9986268688774624,-1.4920939905105182,-1.6171163918501321,-2.251182135863805,-1.2390515460637517,-1.3858621841541008,0.5487838913270497,1.7301337112216038
