Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Armenia,2019,-0.09916155296304265,-1.4202151729084285,-2.052190407175234,0.20824138576220855,-0.8820365625128499,-1.3258767227951,-1.727883444329321,0.17550086729638992,-1.6379536874966738,-1.3297589412935693,-2.1222707421324314,-0.2986956613663069,-1.7243607440811008,0.12393098735670434,0.3861537021392478,0.3123065478473178,-1.3208755106047834,-1.7469809547211488,-1.3312157872339654
Armenia,2020,-0.06596680087680096,-1.4287461898884677,-2.052228925410843,0.7517771521184472,-1.4774200074145243,-1.1766847872700361,-1.5915109996205077,0.09630717892324232,-1.6418291988787024,-1.318112761087361,-2.1235766177885886,-0.042308266771846695,-1.6821899043399728,0.038608716941023885,0.3861537021392478,1.6080038130811862,-0.9686444319457582,-1.7542274815529324,-1.395426493341099
Austria,2012,0.48858276145472124,0.7820321220941793,1.3015401807363525,-0.7079283073051671,0.5324879353420251,-0.2525518668479507,0.0917356667246812,0.44166936541814866,0.3488326218735264,0.8067519137922256,-0.09048723344481896,1.5631830857915638,0.1677271925392588,1.527988149831737,0.3861537021392478,0.18705992519815762,-0.29899796708165455,0.5514148609687463,0.5498119127056331
Austria,2013,0.48858276145472124,0.8214006710459777,1.3013800770917419,-0.7079283073051671,0.6069703132125341,-0.24743862180641493,0.17559740603469964,0.5007624763275631,0.312098521303637,0.6671419377253703,-0.09066475920361404,1.5495990335820369,0.2347704307701587,1.5291039057175475,0.3861537021392478,0.11247095981299106,0.3854498849599905,0.7975524828333173,0.6203258349425712
Austria,2014,0.48858276145472124,0.83528847932238,1.3012110839695232,-0.5903394701340104,0.7419495859057863,-0.3266198225195485,0.22099211065906865,0.4843900044650531,0.2303972106126125,0.5794206564224345,-0.10297906483221504,1.5223344413022097,0.3048548187889507,1.527988149831737,0.3861537021392478,0.18705992519815762,0.6357670797425969,0.7975524828333173,0.6683693937465324
Austria,2015,0.48858276145472124,0.8348714537813483,1.3010420961562668,-0.4155848285540167,0.6271585919685677,-0.22457221790266335,0.24802624457962666,0.5036150443566549,0.17748652554864472,0.544107906609657,-0.049809151216243366,1.5040859668808473,0.37818606900157575,1.5235184262347086,0.3861537021392478,0.18705992519815762,-0.29899796708165455,0.49943464740177934,0.6203258349425712
Austria,2016,0.48858276145472124,0.8344544846154088,1.3008731136519067,-0.18564091079702916,0.8010142020587032,-0.1563307813206735,0.11078518348743673,0.6129121719949424,0.20084726954432428,0.4739826819750711,-0.0025786705471704478,1.4489895328231734,0.4549885920811776,1.5167937126272737,0.3861537021392478,0.11247095981299106,-0.29899796708165455,0.4504858513340337,0.5498119127056331
Austria,2017,0.48858276145472124,0.83403757181785,1.2923685981856314,-0.242797177103414,0.8019575195833915,-0.17238431341947374,0.24806649844351086,0.6345523286071537,0.2897145478325504,0.611199703579775,0.04650732107642269,1.4258751190959575,0.4549885920811776,1.5111712986744341,0.3861537021392478,0.38802403408607483,0.3854498849599905,0.7975524828333173,0.5731138848734031
Austria,2018,0.48858276145472124,0.8335946637259362,1.2742670669530938,-0.5318702528146275,0.8211819078029523,-0.24255332342741265,0.30137224429876436,0.7033500088258748,0.2960305747505556,0.7991541903164312,0.09719362359738665,1.379363185413271,0.5355076506801284,1.5055320452656775,0.3861537021392478,0.11247095981299106,-0.16285956807288926,0.49943464740177934,0.8177568349090523
Austria,2019,0.48858276145472124,0.8330997240854281,1.256411950066078,-0.5903394701340104,0.9018087908928866,-0.24695416392467331,0.3821684765181296,0.7392948695990654,0.1831158769342251,0.921103533137394,0.09816154751606083,1.3418776107601085,0.5355076506801284,1.499875920452336,0.3861537021392478,0.2620667291498782,-0.16285956807288926,0.665913422918396,0.6683693937465324
Austria,2020,0.48858276145472124,0.8325788208303815,1.2388276715953654,-0.7079283073051671,0.6281025670537835,-0.6872455432863449,0.3394010965993164,0.6804431359728939,0.10720560438638668,0.7164702254647931,0.08455393691429647,1.2804290785262336,0.6200118159010033,1.4942028922601231,0.3861537021392478,0.36273684391763183,-0.29899796708165455,0.5514148609687463,0.4810859259039994
Belgium,2012,0.48858276145472124,1.051451008887309,-0.08545831892801382,1.2722199206506448,0.33398790703172615,0.1667729341961663,0.33133507710293336,-0.7944601555016513,-0.05488636442304796,0.1240661592389965,0.37265249533666855,0.7679812667556206,-0.016970495673404765,0.6635057830475973,0.3861537021392478,0.9570413262797602,0.6357670797425969,0.9514208788167622,0.45856092055485803
Belgium,2013,0.48858276145472124,1.0476051124412296,0.0017705592285359665,1.0668560704924153,0.4057383056338582,0.21826557844078143,0.6576584913428144,-0.6988480707418624,-0.11073247713924646,-0.05543365537864282,0.25668185926876425,0.7313483599196746,0.0420236707809289,0.6635057830475973,0.3861537021392478,0.9042703524633411,0.9363573247842838,0.9514208788167622,0.45856092055485803
Belgium,2014,0.48858276145472124,1.0437636627331446,0.09197941887471414,0.9627620676864816,0.6641680126550481,0.22827952897824008,0.6411379717291407,-0.6672941903557973,-0.0036554295319313227,-0.07424279026369471,0.32984843613088,0.6838790379674902,0.0420236707809289,0.6651049090788271,0.3861537021392478,0.799371823581898,0.9363573247842838,1.1350891838610362,0.45856092055485803
Belgium,2015,0.48858276145472124,1.0399266552300281,0.18524954752999784,0.7517771521184472,0.5532461104829862,0.29276760997661333,0.4742322388712304,-0.6892808716679999,-0.027197455511781855,-0.06639885013151507,0.24126239118349746,0.6732729644776054,0.10353619649401276,0.6635057830475973,0.3861537021392478,0.9042703524633411,0.9363573247842838,1.2415649266665554,0.45856092055485803
Belgium,2016,0.48858276145472124,1.0360940854028504,0.28165000950798935,0.6448968083886208,0.7221411326690509,0.345657957405376,0.43735349900049636,-0.6854553121358441,0.40457599023445995,0.06343080252611603,0.29548360566878934,0.6306369218377232,0.10353619649401276,0.6619058155636961,0.3861537021392478,0.9306287828961746,0.9363573247842838,1.1350891838610362,0.45856092055485803
Belgium,2017,0.48858276145472124,1.0322659487265817,0.3812649520820375,0.48285589531367873,0.7429191050743071,0.41435062693848146,0.5733238251206764,-0.6270497734665738,0.4110185178775618,0.22376107597653233,0.35001587014898955,0.5714494843501221,0.1677271925392588,0.6603050063463953,0.3861537021392478,0.9835082841627862,0.6357670797425969,1.038918902228817,0.45856092055485803
Belgium,2018,0.48858276145472124,1.028469932790809,0.48417306642126484,0.31876548232652563,0.7828161427892198,0.35635102071771096,0.5243275544671102,-0.5322559452366454,0.4222856488635706,0.5065529721833623,0.33544686534171,0.5443262998198642,0.1677271925392588,0.6571008615884757,0.3861537021392478,1.0366066634028872,0.9363573247842838,1.2415649266665554,0.45856092055485803
Belgium,2019,0.48858276145472124,1.0246506168146767,0.5904466635272522,0.20824138576220855,0.9421800820723849,0.3704774117352418,0.45556827640033853,-0.4639037382981146,0.54062905453774,0.6680212100091107,0.3028449601850458,0.517063290195143,0.2347704307701587,0.6554975254862013,0.3861537021392478,1.0366066634028872,0.9363573247842838,1.2415649266665554,0.6203258349425712
