Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Austria,2018,12.5862,1.6166,9.252,5.2742,66.5258,2.8,3717.6253,0.0,78.1654,34.1,234.25,6881.01,8.7839,-1.2749,1.1091,100.51,0.1007,0.045,5.7798,47.164,28.4,26335.0669
Austria,2019,11.4646,5.7884,9.362,4.5976,74.4763,2.81,3765.9801,0.0,78.1471,34.0,263.23,7000.78,8.6764,-0.2886,1.0446,99.96,0.077,0.0333,5.7091,47.1037,28.4,33659.5104
Austria,2020,10.9335,-1.1623,8.6323,3.2471,59.7669,2.84,3546.5045,0.0,80.9966,35.8,143.75,7123.64,8.6764,0.3651,1.0714,101.84,0.0421,0.0228,5.7091,47.1379,29.1,25940.4082
Belgium,2012,15.215,-0.543,11.5296,6.5804,86.3428,4.17,4822.6888,71.4519,14.2367,7.7,122.94,5605.64,65.1106,0.5467,0.8446,91.38,0.049,0.0149,44.1667,22.7357,,5635.0188
Belgium,2013,14.3698,-0.971,11.5805,6.179,87.3156,4.33,5000.3462,70.7795,15.6365,8.3,177.59,5975.35,59.3243,-0.2416,0.7646,95.83,0.0446,0.0141,40.2417,22.7319,24.3,3314.9997
Belgium,2014,12.9004,-1.0161,10.9297,5.8736,89.7059,4.02,4701.2577,72.7601,18.4604,9.1,105.47,4757.4,55.9705,-0.456,0.7165,101.8,0.0501,0.0129,37.9667,22.7282,24.2,4239.217
Belgium,2015,13.339,-0.9043,11.2817,5.8963,95.2723,3.93,4661.6638,76.296,22.3222,9.4,195.06,5242.51,49.0663,-0.9886,0.7506,101.32,0.0233,0.011,33.2833,22.7244,24.2,3420.2739
Belgium,2016,12.3939,-0.8317,11.1286,3.0827,86.2542,4.11,4904.1577,0.0,17.9651,9.2,169.69,5433.28,51.5116,0.1652,0.6732,96.87,0.0196,0.0107,34.942,22.7244,24.6,4512.2428
Belgium,2017,12.7692,-0.7137,10.908,2.7996,86.938,4.02,4863.6328,0.0,19.5541,9.7,188.4,5186.49,53.9568,-0.5727,0.7295,102.61,0.0253,0.0095,36.6007,22.7244,24.7,4137.3227
Belgium,2018,12.4926,-0.6777,10.9124,3.1237,99.699,3.8,4660.2069,0.0,24.2594,10.7,331.69,4996.99,51.2899,-1.6353,0.6646,98.91,0.0334,0.0106,34.7917,22.6052,24.6,4630.8045
