Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Albania,2012,-0.8283151477246474,1.4586083284896696,1.564951788092142,-1.5753477485003418,0.922890326105746,0.9910879169325613,1.3242037184836453,1.574243795124421,0.8922889524872001,0.11355212034213727,0.7614011310499094,2.485847105608597,0.8343801829689204,1.7055571188711436,1.1249298558777774,-0.8085531941021629,0.16410245050057407,0.3924974134955737,-0.6928118287881132,-0.6608958228030886,-0.2436954759254893,-0.14739805048312063,-0.06740467255317986,-3.460840877706881,-0.5863821475399171,-1.1527510349327141,-2.5187451114973833,0.6883427430547786,-0.18980601092418364,-0.6846501225625917,0.059145728886923744
Albania,2013,-0.6539020485765079,1.4305035484922677,1.5391390352301397,-1.089036845123981,0.9069118304502589,1.0145400639986384,1.3048044722357914,1.5486145048363988,0.8922889524872001,-0.048092224574658914,0.5767935941163432,2.2065840699859662,0.9108322895262527,1.6978533197296715,1.2003108739753965,-0.6019202100627777,0.16410245050057407,0.5800218526627284,-0.6927663074628363,-0.6686568011951602,-0.24195412896299795,0.7496540630449954,-0.039190292555790235,-3.803132475456736,-0.5113768837891813,-1.2911083327933923,-2.1999365550509404,0.7030377427021397,-0.18676868023515647,-0.6846501225625917,0.328866097917045
Albania,2014,-0.6492893475341602,1.3935246646332307,1.5035815863172755,-1.0633422066721374,0.8919975684931879,0.9800581154434361,1.271358409537765,1.5034253218570015,0.8922889524872001,-0.09575303892586126,0.5913678733479406,2.1903575698117876,0.6276763393139111,1.672018927618796,1.043267086272024,-0.4268918650969673,0.16410245050057407,0.6533891358043691,-0.6176105994303187,-0.6764125498174257,-0.2399870470047994,-1.0373224243494823,-0.012974661200094795,-3.8834814105817577,-0.3561935794773134,-1.3952866549915366,-2.2790708891644167,0.7180164762842058,-0.1837371905666851,-1.1628924833738967,0.6537007797566909
Albania,2015,-0.6203968176788676,1.4196240595492386,1.5266450518922003,-1.0735854670314784,0.8833019567713669,0.9697727049336942,1.2824230230379394,1.5157496444877463,0.8922889524872001,0.18525062534194145,0.7079621072007191,2.3033410200802242,0.7035621339708189,1.7002766858364726,1.0369853347638889,-0.7524498715433745,-0.04342758057743528,0.5017181792761315,-0.7120825231554253,-0.7251226257903062,-0.23721910746908692,0.480712276295384,-0.012996746820444952,-3.7575415141845183,0.06150814796212885,-0.6880697458713074,-2.594982707656119,0.8188075825291222,-0.18069985987765794,-1.1304692724714354,1.129533929893932
Albania,2016,-0.43394123631684056,1.4589240651078774,1.5611944287998034,-1.0891824661552025,0.8935946489821109,0.9762831475211777,1.309727979973919,1.5497806773003835,0.8922889524872001,0.026865724783666733,0.7128202002779183,2.247162655614248,0.8236202568608515,1.2128298984863928,1.0935210983371029,-0.5955967975336413,0.16410245050057407,0.5643953824816909,-0.5789326467198631,-0.6710624953059101,-0.23570043541973834,1.5011959790880276,-0.02790454055683447,-3.8653579766525996,0.4520527971469969,-0.26692900368392486,-2.0813093280970616,0.7076588793434766,-0.18071738293932538,-0.2469367753793632,0.6990025802858302
Albania,2017,-0.5525898496171723,1.3669805702393987,1.4745307839838266,-1.0891824661552025,0.894571089160601,0.9821192871463493,1.253437669935119,1.4745890572930225,0.8922889524872001,-0.19880231733578357,0.6982459210463209,2.1601613401490942,0.5942639371888551,1.7217725572580187,0.9364773106337304,-0.747209056164503,0.11221994273107173,0.46495694553214034,-0.768559314049233,-0.6713762814942689,-0.23482649410246548,-0.15869812555663362,-0.012958096984831982,-3.5860363271013647,0.5542151391523087,-0.4168458361374087,-2.505516157254406,0.7082607246030156,-0.1813073260154632,-0.2145135644769018,0.4819549046516497
Albania,2018,-0.611481187908393,1.3707941867854976,1.47694404726915,-1.0891824661552025,0.8894118021128434,0.9900709983441442,1.2541939864300773,1.4735289005075818,0.8922889524872001,0.010386688114453022,0.7516849448955112,2.1629843043424577,0.7080926291742162,1.6769627588890148,0.9930130742069444,-0.6283289512258596,0.16410245050057407,0.7459568995396878,-0.6738597836977408,-0.713177831553452,-0.23248239561822764,-0.7190080018940597,-0.012555034413440663,-3.544064918497719,0.8309586985084727,-0.5591320681882531,-1.8644996635931812,0.7929380661134751,-0.18131316703601902,-0.2145135644769018,0.4113640605872581
Albania,2019,-0.17843643634884654,1.4093916943501579,1.5122265674533069,-1.0891824661552025,0.9353594383141979,0.9805849583210965,1.2909437629488234,1.5195397049956956,0.8922889524872001,-0.13361528615091112,0.7905496895131038,2.1761966747205945,0.7477344622039442,1.7033441746806512,1.1374933588940475,-0.7215137735432572,0.11221994273107173,0.6237155069057073,-0.7115666148022848,-0.6588039148806973,-0.22843479949967363,0.9916495169269988,-0.012389392260814104,-3.6069065137648284,0.569733469583496,-0.5687196365184416,-1.859922143532758,0.6844132065216791,-0.18131316703601902,-0.15777294539759448,0.6462267182619176
Albania,2020,-0.17876339096934193,1.455229539562799,1.551449732748941,-1.0891824661552025,0.9781749458786614,1.0211717493214,1.3386075772673611,1.5757545185436737,0.8922889524872001,-0.17679666738286628,0.8439887133622942,2.3041344535599646,0.8802514469033199,1.722502276355575,1.4076086737438478,-0.6718421041539149,0.16410245050057407,0.5876406926400906,-0.7690903961774664,-0.7672327322680421,-0.22297858245206942,-0.16982435332132337,0.004627578219020368,-3.772661489516352,0.7921628724305061,-0.03437838015737577,-1.807959222475763,0.9171888784757725,-0.18131316703601902,-0.15777294539759448,0.6318000564484038
Armenia,2012,-2.494014667580104,1.3331351430053786,1.4697042574131802,-0.4871752527131026,1.0082973697093238,1.2867948683250097,1.299229097303051,1.5747208656778693,0.8922889524872001,-0.428069755647781,-0.04018422668794327,1.839341202490257,-0.26766277525751314,-0.2745827681782958,-0.966893396331144,0.06012920554017805,0.16410245050057407,-0.730194287136783,0.16065232505743107,2.0885667466032176,-0.24697996370454145,0.9170690214418125,-0.9106226147139087,-3.543320471494963,-1.47351337052276,-0.48799710265193635,-4.666762222673978,-1.0694533500702625,-1.1857233797739781,0.5798551026334017,1.260239043717537
