Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Coastal protection,Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Proportion of bodies of water with good ambient water quality,Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),"Mammal species, threatened",Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Armenia,2018,34.2014,5.9516,2.0046,-0.4706,2.3761,0.4836,9.0795,3.0581,0.0,72.7318,3.51,1072.3368,0.0,30.0282,11.1,,312.85,0.0,6894.05,16.3095,54.7509,104.2852,,-0.0345,58.9146,13.9423,83.48,0.6814,0.268,39.5685,11.5522,9.0,23.1,5.9025
Armenia,2019,32.6618,6.4247,2.1687,-0.4706,2.3417,0.508,9.5603,3.2271,0.0,74.1708,3.52,1163.0928,0.0,31.2254,10.3,,285.56,0.0,7437.64,16.5653,57.7971,104.0569,,-1.6376,58.9041,11.5256,81.27,1.1944,0.2499,41.7699,11.5448,,24.3,0.7064
Armenia,2020,30.5796,6.9145,2.3348,-0.4706,2.5666,0.4969,10.2818,3.4718,0.0,74.1473,4.01,1233.3046,0.0,23.4345,8.4,,229.79,0.0,7559.67,16.4365,57.091,105.0274,,-0.1426,59.4381,11.3498,85.28,1.1162,0.2745,41.2597,11.6489,,24.3,18.543
Austria,2012,14.7199,69.0207,8.1875,-9.3784,9.5123,3.4462,83.9774,9.9617,8.5754,65.5206,3.04,3899.1648,67.0885,76.0603,34.4,,202.99,0.0,7576.21,11.6875,9.4286,102.1569,,-0.586,33.1459,1.4177,95.95,0.1687,0.0419,6.204,46.9025,,,11165.7592
Austria,2013,14.6599,69.6088,8.2088,-5.2398,9.3395,3.4591,84.4903,9.9637,8.9604,62.8836,3.08,3924.8214,66.1563,79.3682,34.6,,216.33,0.0,7683.78,12.3768,9.3212,102.7608,,0.1777,32.9181,1.2778,96.23,0.1492,0.0405,6.1333,46.9461,,24.0,7655.3314
Austria,2014,12.9541,65.9262,7.714,-10.046,9.1436,3.5553,80.8206,9.4567,7.4391,67.4889,2.95,3750.3448,65.0375,82.5402,35.7,,111.59,0.0,6842.49,13.9394,9.2137,103.5671,,0.7949,32.8914,1.2756,102.03,0.1356,0.0403,6.0626,46.9897,,28.3,9876.061
Austria,2015,13.6,67.3632,7.7942,-4.3028,9.0679,3.5289,82.2617,9.5181,7.749,62.1474,2.99,3795.5104,65.7447,78.1279,34.8,,303.85,0.0,7087.62,13.562,9.1063,104.7346,,-1.2206,32.9429,1.1436,97.36,0.0923,0.0407,5.9919,47.0333,,28.4,7941.0671
Austria,2016,12.5144,67.7745,7.7575,-8.341,9.0026,3.5522,82.7008,9.4659,5.8104,64.1138,2.96,3797.168,0.0,79.2285,34.6,,152.52,0.0,7314.52,12.8142,8.9988,105.8733,,1.3329,32.3579,1.1493,100.61,0.0678,0.0348,5.9212,47.077,,27.6,17218.0551
Austria,2017,12.1558,70.0851,7.9664,-4.6461,8.9185,3.4674,84.8577,9.6456,5.4876,65.9464,2.95,3839.9481,0.0,77.0242,34.0,,229.01,0.0,7474.74,12.5621,8.8913,106.6113,80.44,0.3634,32.1694,1.1999,98.48,0.0776,0.0332,5.8505,47.1205,,28.4,18402.4732
Austria,2018,12.5862,67.2508,7.6071,1.6166,8.7145,3.4067,81.7926,9.252,5.2742,66.5258,2.8,3717.6253,0.0,78.1654,34.1,,234.25,0.0,6881.01,13.0632,8.7839,107.1319,,-1.2749,32.1477,1.1091,100.51,0.1007,0.045,5.7798,47.164,3.0,28.4,26335.0669
